#Mod_Status,#Mod_Name,#Nexus_ID,#Mod_Nexus_URL,#Mod_Version,#Download_File_Name
"+","MCM Helper",53000,"https://www.nexusmods.com/skyrimspecialedition/mods/53000","1.5.0.0","MCM Helper-53000-1-5-0-1702843613.7z"
"+","Base Object Swapper VR",61734,"https://www.nexusmods.com/skyrimspecialedition/mods/61734","3.4.1.0","Base Object Swapper VR-61734-3-4-1-1753861337.7z"
"+","Simply Balanced",15541,"https://www.nexusmods.com/skyrimspecialedition/mods/15541","1.4.7.0","Simply Balanced - 1.4.7-15541-1-4-7-1719230030.zip"
"+","MergeMapper",74689,"https://www.nexusmods.com/skyrimspecialedition/mods/74689","1.5.0.0","MergeMapper-74689-1-5-0-1683883576.7z"
"+","VR Perk Extender",16330,"https://www.nexusmods.com/skyrimspecialedition/mods/16330","2.0.0.0","SKSEVR Perk Extender-16330-2-0-1577426728.zip"
"+","Behavior Data Injector",78146,"https://www.nexusmods.com/skyrimspecialedition/mods/78146","0.13.0.0","Behavior Data Injector-78146-v0-13-1667564855.7z"
"+","Behavior Data Injector Universal Support",78159,"https://www.nexusmods.com/skyrimspecialedition/mods/78159","0.13.0.1","Behavior Data Injector Universal Support-78159-v0-13-0-1-1679695849.zip"
"+","Leveling Freedom - Configure your XP Curve - Gentler Smoother Steeper or Flat",69589,"https://www.nexusmods.com/skyrimspecialedition/mods/69589","0.0.0.0.B","Leveling Freedom ESPFE-69589-0-B-1666405709.zip"
"+","Keyword Item Distributor",55728,"https://www.nexusmods.com/skyrimspecialedition/mods/55728","3.4.0.0","Keyword Item Distributor-55728-3-4-0-1710234193.7z"
"+","More Informative Console",19250,"https://www.nexusmods.com/skyrimspecialedition/mods/19250","1.2.2.0","More Informative Console 1.2.2-19250-1-2-2-1726885673.zip"
"+","Open Animation Replacer",92109,"https://www.nexusmods.com/skyrimspecialedition/mods/92109","2.3.6.0","Open Animation Replacer-92109-2-3-6-1720373417.7z"
"+","Animation Queue Fix",82395,"https://www.nexusmods.com/skyrimspecialedition/mods/82395","1.0.1.0","Animation Queue Fix-82395-1-0-1-1673338766.7z"
"+","Paired Animation Improvements",99621,"https://www.nexusmods.com/skyrimspecialedition/mods/99621","1.0.2.0","Paired Animation Improvements-99621-1-0-2-1706671876.7z"
"+","SkyPatcher",106659,"https://www.nexusmods.com/skyrimspecialedition/mods/106659","3.3.2.0","SkyPatcher - VR-106659-3-3-2-1731677556.zip"
"+","VR FPS Stabilizer",31392,"https://www.nexusmods.com/skyrimspecialedition/mods/31392","1.4.6.0","VR FPS Stabilizer (FOMOD Installer)-31392-1-4-6-1702735955.rar"
"-","Main Menu on Death SE",63217,"https://www.nexusmods.com/skyrimspecialedition/mods/63217","1.0.0.0","Main Menu on Death SE-63217-1-0-1644367227.7z"
"-","1.8 - Interface_separator",-1,"","",""
