#Mod_Status,#Mod_Name,#Nexus_ID,#Mod_Nexus_URL,#Mod_Version,#Download_File_Name
+,MCM Helper,53000,https://www.nexusmods.com/skyrimspecialedition/mods/53000,1.5.0.0,MCM Helper-53000-1-5-0-1702843613.7z
+,Base Object Swapper VR,61734,https://www.nexusmods.com/skyrimspecialedition/mods/61734,3.1.1.0,Base Object Swapper VR-61734-3-1-1-1720244303.7z
+,Simply Balanced,15541,https://www.nexusmods.com/skyrimspecialedition/mods/15541,1.4.7.0,Simply Balanced - 1.4.7-15541-1-4-7-1719230030.zip
+,MergeMapper,74689,https://www.nexusmods.com/skyrimspecialedition/mods/74689,1.5.0.0,MergeMapper-74689-1-5-0-1683883576.7z
+,VR Perk Extender,16330,https://www.nexusmods.com/skyrimspecialedition/mods/16330,2.0.0.0,SKSEVR Perk Extender-16330-2-0-1577426728.zip
+,Behavior Data Injector,78146,https://www.nexusmods.com/skyrimspecialedition/mods/78146,0.13.0.0,Behavior Data Injector-78146-v0-13-1667564855.7z
+,Behavior Data Injector Universal Support,78159,https://www.nexusmods.com/skyrimspecialedition/mods/78159,0.13.0.1,Behavior Data Injector Universal Support-78159-v0-13-0-1-1679695849.zip
+,Leveling Freedom - Configure your XP Curve - Gentler Smoother Steeper or Flat,69589,https://www.nexusmods.com/skyrimspecialedition/mods/69589,0.0.0.0.B,Leveling Freedom ESPFE-69589-0-B-1666405709.zip
+,Keyword Item Distributor,55728,https://www.nexusmods.com/skyrimspecialedition/mods/55728,3.4.0.0,Keyword Item Distributor-55728-3-4-0-1710234193.7z
+,More Informative Console,19250,https://www.nexusmods.com/skyrimspecialedition/mods/19250,1.2.2.0,More Informative Console 1.2.2-19250-1-2-2-1726885673.zip
+,Open Animation Replacer,92109,https://www.nexusmods.com/skyrimspecialedition/mods/92109,2.3.6.0,Open Animation Replacer-92109-2-3-6-1720373417.7z
+,Animation Queue Fix,82395,https://www.nexusmods.com/skyrimspecialedition/mods/82395,1.0.1.0,Animation Queue Fix-82395-1-0-1-1673338766.7z
+,Paired Animation Improvements,99621,https://www.nexusmods.com/skyrimspecialedition/mods/99621,1.0.2.0,Paired Animation Improvements-99621-1-0-2-1706671876.7z
+,SkyPatcher,106659,https://www.nexusmods.com/skyrimspecialedition/mods/106659,3.3.2.0,SkyPatcher - VR-106659-3-3-2-1731677556.zip
+,VR FPS Stabilizer,31392,https://www.nexusmods.com/skyrimspecialedition/mods/31392,1.4.6.0,VR FPS Stabilizer (FOMOD Installer)-31392-1-4-6-1702735955.rar
+,SkyUI (REQUIRES Skyrim VR Tools!),91535,https://www.nexusmods.com/skyrimspecialedition/mods/91535,1.2.2.0,SkyUI VR-91535-1-2-2-1684306071.7z
+,OpenComposite_SkyUIVR_Fix_No_Search,85389,https://www.nexusmods.com/skyrimspecialedition/mods/85389,1.0.0.0,OpenComposite_SkyUIVR_Fix_ReverbG2-85389-1-0-1677658920.zip
+,Constructible Object Custom Keyword System,81409,https://www.nexusmods.com/skyrimspecialedition/mods/81409,1.1.1.0,Crafting Categories for SkyUI VR-81409-1-1-1-1713865558.7z
+,Clean Menu - VR Edition,53524,https://www.nexusmods.com/skyrimspecialedition/mods/53524,1.0.0.0,Clean Menu-53524-1-0-1628516880.zip
+,Eagle Eye Cursor Replacer for Skyrim VR,87315,https://www.nexusmods.com/skyrimspecialedition/mods/87315,0.1.0.0,Eagle Eye Cursor Replacer for Skyrim VR-87315-0-1-1679370970.zip
+,Show Follower Carry Weight,99878,https://www.nexusmods.com/skyrimspecialedition/mods/99878,0.1.0.0,Show Follower Carry Weight-99878-0-1-1693785033.7z
+,MCM Recorder,61719,https://www.nexusmods.com/skyrimspecialedition/mods/61719,1.0.7.0,MCM Recorder-61719-1-0-7-1642847171.zip
+,FUS Default MCM Recorder Settings,0,,d2024.4.14.0,C:/Users/Marius/Downloads/McmRecorder.7z
+,SRA Stamina drain MCM Recorder settings,0,,d2024.5.2.0,C:/Users/Marius/Downloads/SRA_Stamina_drain_MCM_Recorder_Settings.7z
+,moreHUD VR - wrist HUD improvements,33215,https://www.nexusmods.com/skyrimspecialedition/mods/33215,1.1.0.0,1_moreHUD VR-33215-1-1-0-1652988637.7z
+,VR Smooth Dialogue Mesh,107993,https://www.nexusmods.com/skyrimspecialedition/mods/107993,1.0.0.0,VR Smooth Dialogue Mesh-107993-1-0-0-1703910901.zip
+,Better Resource Warnings,26751,https://www.nexusmods.com/skyrimspecialedition/mods/26751,2.2.0.0,Better Resource Warnings-26751-2-2-1609018535.7z
+,Whose Quest Is It Anyway,23581,https://www.nexusmods.com/skyrimspecialedition/mods/23581,1.5.0.0,Whose Quest Is It Anyway-23581-1-5-0-1682374361.zip
+,Whose Quest Is It Anyway VR,60211,https://www.nexusmods.com/skyrimspecialedition/mods/60211,1.3.0.0,WhoseQuestIsItAnyway VR-60211-1-3-0-1639723153.7z
+,Instant Equip VR,44571,https://www.nexusmods.com/skyrimspecialedition/mods/44571,1.0.0.0,Instant Equip VR-44571-1-0-0-1611111731.zip
+,HIGGS - Hand Interaction and Gravity Gloves for Skyrim VR,43930,https://www.nexusmods.com/skyrimspecialedition/mods/43930,1.10.5.0,HIGGS 1.10.5-43930-1-10-5-1739087223.zip
+,VRIK Player Avatar,23416,https://www.nexusmods.com/skyrimspecialedition/mods/23416,0.8.4.0,VRIK Player Avatar-23416-0-8-4-1726917885.rar
+,Arctal's VRIK Tweaks,63663,https://www.nexusmods.com/skyrimspecialedition/mods/63663,2.0.0.0,Arctals VRIK Tweaks-63663-2-0-1706348724.7z
+,Werewolf Body for VR,56394,https://www.nexusmods.com/skyrimspecialedition/mods/56394,2.3.0.0,Werewolf Body for VR-56394-2-3-1635537803.7z
+,Vampire Lord Body for VR,57318,https://www.nexusmods.com/skyrimspecialedition/mods/57318,1.0.0.0,Vampire Lord Body for VR-57318-1-0-1634847104.7z
+,Spell Wheel VR,47630,https://www.nexusmods.com/skyrimspecialedition/mods/47630,1.5.6.0,Spell Wheel VR-47630-1-5-6-1741564774.rar
+,Swap Drop and Hold,49425,https://www.nexusmods.com/skyrimspecialedition/mods/49425,0.0.1.0,Swap Drop and Hold-49425-0-0-1-1620085763.zip
+,Swap Drop and Hold Add Spells,55983,https://www.nexusmods.com/skyrimspecialedition/mods/55983,2.0.0.0,Swap Drop and Hold Add Spells-55983-2-1632862272.7z
+,Weapon Throw VR,31374,https://www.nexusmods.com/skyrimspecialedition/mods/31374,1.3.19.0,Weapon Throw VR-31374-1-3-19-1716130950.rar
+,Locational Damage SKSE VR,26447,https://www.nexusmods.com/skyrimspecialedition/mods/26447,0.7.2.0,LocationalDamageSKSE VR 0.7.2-26447-0-7-2-1638129484.zip
+,Magic Improvements for Skyrim VR - palm aiming,55751,https://www.nexusmods.com/skyrimspecialedition/mods/55751,1.2.0.0,MISVR 1.2.0-55751-1-2-0-1661396556.zip
+,Simple Realistic Archery VR,28524,https://www.nexusmods.com/skyrimspecialedition/mods/28524,1.26.0.0,Simple Realistic Archery VR-28524-1-26-1617578073.7z
+,Simple Realistic Archery VR - Attribute Cost Reload fix,118410,https://www.nexusmods.com/skyrimspecialedition/mods/118410,1.26.0.0b,Simple Realistic Archery VR AttributeCost Patch-118410-1-26b-1714654697.zip
+,PLANCK - Physical Animation and Character Kinetics,66025,https://www.nexusmods.com/skyrimspecialedition/mods/66025,0.7.1.0,PLANCK 0.7.1-66025-0-7-1-1736546551.zip
+,Dual Wield Block VR,28456,https://www.nexusmods.com/skyrimspecialedition/mods/28456,1.7.0.0,Dual Wield Block VR 1.7.0-28456-1-7-0-1663724839.zip
+,Pseudo Physical Weapon Collision and Parry AE SE VR,100781,https://www.nexusmods.com/skyrimspecialedition/mods/100781,1.0.2.0,Pseudo Physical Weapon Collision and Parry VR-100781-1-0-2-1706163658.zip
+,Haptic Skyrim VR - Spellcasting and Enhanced Bow and Melee Haptics,20364,https://www.nexusmods.com/skyrimspecialedition/mods/20364,1.7.3.0,HapticSkyrimVR - Spellcasting and Enhanced Bow and Melee Feedback SKSE Plugin-20364-1-7-3-1680882790.rar
+,Sprint Jump VR,28354,https://www.nexusmods.com/skyrimspecialedition/mods/28354,2.0.2.0,SprintJumpVR-28354-2-0-2-1728138797.rar
+,To Your Face VR,24720,https://www.nexusmods.com/skyrimspecialedition/mods/24720,1.0.0.0f,To Your Face VR-24720-1-0f-1554169090.zip
+,Realistic Ragdolls and Force,1439,https://www.nexusmods.com/skyrimspecialedition/mods/1439,1.92.0.0,Realistic Ragdolls and Force SE-1439-1-92.zip
+,GIST - Genuinely Intelligent Soul Trap SE,15755,https://www.nexusmods.com/skyrimspecialedition/mods/15755,1.3.0.0,GIST Soul Trap-15755-1-3.zip
+,Buy and Sell Torches - Bug Fix,96387,https://www.nexusmods.com/skyrimspecialedition/mods/96387,0.3.0.0,Buy and Sell Torches - bug fix-96387-0-3-1690234234.7z
+,Retimed Hit Frames,26876,https://www.nexusmods.com/skyrimspecialedition/mods/26876,f1.02,Retimed Hit Frames-26876-1-02-1561517067.7z
+,No Spinning Death Animation,1432,https://www.nexusmods.com/skyrimspecialedition/mods/1432,1.31.0.0,No Spinning Death Animation MERGED-1432-1-31.zip
+,Improved Bound Sword and Dagger Collision,60064,https://www.nexusmods.com/skyrimspecialedition/mods/60064,1.0.0.0,Improved Bound Sword and Dagger Collision-60064-1-0-0-1639480565.zip
+,Bound Dagger CTD Fix,45191,https://www.nexusmods.com/skyrimspecialedition/mods/45191,2.1.0.0,Bound Dagger CTD Fix-45191-2-1-1713613764.zip
+,Rally's Candlelight and Magelight Fix,36594,https://www.nexusmods.com/skyrimspecialedition/mods/36594,1.3.0.0,Rally's Candlelight and Magelight Fix-36594-1-3-1650821634.7z
